Kruskal: ba graph with V=1000, E=29535, 0.001498714 secs, 5539 edge scans, 535957 w comps, 11078 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 24.093229174

 Prim  : ba graph with V=1000, E=39180, 0.000334144 secs, 78360 edge scans, 38181 w comps, 0 uf ops, 5506 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 18.225017030
SCFcach(K=2): ba graph with V=1000, E=39180, 0.000381794 secs, 114170 edge scans, 212927 w comps, 0 uf ops, 1998 pq ops, 3825 component updates, 8534/103605 cache checks for best/worst, with MST weight 18.225017030
Boruvka: ba graph with V=1000, E=39180, 0.000612780 secs, 156720 edge scans, 279321 w comps, 315958 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 18.225017030
Kruskal: ba graph with V=1000, E=39180, 0.002027908 secs, 6539 edge scans, 717451 w comps, 13078 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 18.225017030

SCFcach(K=2): ba graph with V=1000, E=48725, 0.000362522 secs, 133784 edge scans, 257284 w comps, 0 uf ops, 1998 pq ops, 3660 component updates, 8032/125907 cache checks for best/worst, with MST weight 14.194387298
 Prim  : ba graph with V=1000, E=48725, 0.000378436 secs, 97450 edge scans, 47726 w comps, 0 uf ops, 5714 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 14.194387298
Boruvka: ba graph with V=1000, E=48725, 0.000964334 secs, 243625 edge scans, 401091 w comps, 489820 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 14.194387298
Kruskal: ba graph with V=1000, E=48725, 0.002562798 secs, 4892 edge scans, 913113 w comps, 9784 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 14.194387298

SCFcach(K=2): ba graph with V=1000, E=58170, 0.000406126 secs, 164910 edge scans, 312334 w comps, 0 uf ops, 1998 pq ops, 3632 component updates, 8068/153444 cache checks for best/worst, with MST weight 11.492371797
 Prim  : ba graph with V=1000, E=58170, 0.000444276 secs, 116340 edge scans, 57171 w comps, 0 uf ops, 5866 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 11.492371797
Boruvka: ba graph with V=1000, E=58170, 0.000830880 secs, 232680 edge scans, 427887 w comps, 467890 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 11.492371797
